Complexity,Loss,Equation
1,4.6781437361777,"0.05473556450413624"
3,4.579668715191524,"(0.7018482963105162 ^ x1)"
4,3.7025059879155786,"exp(4.27881829629776 - x1)"
5,1.3744475696937406,"((x1 - 2.64245288720822) ^ -2.2185330250068835)"
7,0.4175816875719309,"((67.22576226190945 / (x1 ^ x1)) ^ x1)"
9,0.2646572266215139,"(((68.13792783910316 / (x1 ^ x1)) ^ x1) - 0.4005372740363414)"
11,0.14575348326585266,"(((69.42994807272558 / (x1 ^ x1)) ^ x1) - (3.073082825505039 / x1))"
12,0.0518122093070257,"(((73.90754731993243 / (x1 ^ x1)) ^ x1) - (67.31644389177667 / exp(x1)))"
13,0.03307008500164571,"((((71.19455590789991 / (x1 ^ x1)) ^ x1) + (-9.119907200911365 / x1)) - -1.1054319248167992)"
14,0.027831920344276992,"(((71.37541702992492 / (x1 ^ x1)) ^ x1) - ((71.37541702992492 / exp(x1)) ^ 0.6314791455689638))"
15,0.025296072426472978,"(((70.47449620160126 / (x1 ^ x1)) ^ x1) - (((0.9028281137866011 ^ x1) / 0.6449538733003651) ^ x1))"
16,0.009747396077773429,"(((70.59829882517612 / (x1 ^ x1)) ^ x1) - ((0.1745392455467982 ^ cos(0.8003262116923977 * x1)) / x1))"
17,0.009711398493091168,"(((70.59829882517612 / (x1 ^ x1)) ^ x1) - ((0.1745392455467982 ^ cos(x1 * cos(0.637104266808395))) / x1))"
18,0.0061426463481936856,"(((70.59829882517612 / ((x1 ^ x1) + 0.30730622786784306)) ^ x1) - ((0.1745392455467982 ^ cos(x1 * 0.7857476388533642)) / x1))"
20,0.005806525464953926,"((((70.59829882517612 + 1.1481851478300529) / ((x1 ^ x1) - -0.6974508068288184)) ^ x1) - ((0.1745392455467982 ^ cos(x1 * 0.7857476388533642)) / x1))"
